                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4337,                 2.8331,                 1.6712,                0.39155,                 0.3499,                0.30209,                0.14417,                 1.7749,                 3.1471,                  2.003,             0.00055516,             0.00055516,             0.00055516
                      2,                 1.5785,                 2.4492,                 1.7998,                0.50297,                0.31576,                0.35408,                0.20944,                  1.677,                 2.7354,                 2.0201,              0.0010742,              0.0010742,              0.0010742
                      3,                  1.567,                 2.2802,                 1.8012,                0.50041,                0.36223,                0.37745,                 0.2204,                 1.6963,                 2.5536,                 2.0177,              0.0015565,              0.0015565,              0.0015565
                      4,                 1.5095,                 2.1535,                 1.7777,                0.52744,                0.40978,                0.42366,                0.23732,                 1.7106,                 2.1735,                 2.1084,               0.001502,               0.001502,               0.001502
                      5,                 1.4428,                 2.0427,                  1.715,                0.59117,                0.45711,                0.50749,                 0.2875,                 1.5821,                 1.9312,                 1.8985,               0.001447,               0.001447,               0.001447
                      6,                 1.3602,                 1.9206,                 1.6393,                0.62581,                0.52442,                0.58082,                0.36315,                 1.4286,                 1.7101,                 1.7737,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.3501,                 1.8417,                 1.6363,                0.71137,                0.55318,                0.64996,                0.40954,                 1.3521,                 1.6022,                 1.7322,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.3056,                 1.7706,                 1.5964,                0.75106,                0.54979,                0.67309,                0.42088,                 1.3126,                 1.5724,                 1.6652,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.2661,                 1.6716,                 1.5606,                0.72215,                0.59717,                0.68716,                 0.4425,                 1.2978,                 1.4902,                 1.6531,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2275,                 1.6223,                 1.5399,                0.77434,                0.58166,                0.69953,                0.45408,                 1.3029,                 1.4119,                 1.6353,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2206,                 1.5941,                 1.5333,                0.79547,                0.63491,                0.74813,                0.49774,                  1.253,                 1.2863,                 1.5839,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2061,                  1.547,                 1.5112,                 0.7718,                0.64256,                0.74574,                0.49293,                 1.2496,                 1.3063,                 1.5995,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.1817,                 1.4834,                 1.4907,                0.79843,                 0.6534,                0.77615,                0.53113,                 1.1659,                 1.2261,                 1.5078,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1456,                 1.4678,                 1.4713,                0.81766,                0.66783,                0.78295,                0.51598,                 1.2276,                 1.2226,                 1.5528,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.1325,                 1.4018,                 1.4598,                0.80073,                0.68846,                   0.79,                0.53062,                 1.1516,                 1.1968,                 1.4906,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.1345,                 1.4122,                 1.4587,                0.78628,                0.67797,                0.78908,                0.52814,                 1.1738,                 1.1868,                 1.5007,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1093,                 1.3618,                 1.4422,                0.86117,                0.67773,                0.81775,                0.56308,                 1.1324,                 1.0939,                 1.4749,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.0941,                 1.3109,                 1.4315,                0.82933,                 0.7201,                0.81852,                0.56006,                 1.1396,                 1.0898,                 1.4756,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0902,                 1.3144,                 1.4326,                0.84529,                0.73468,                0.84473,                0.57207,                 1.1242,                 1.0546,                 1.4557,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.0573,                 1.2563,                 1.4085,                0.81074,                0.75793,                0.84579,                 0.5747,                  1.114,                 1.0311,                 1.4526,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.0575,                 1.1229,                  1.441,                0.86402,                0.74566,                0.85301,                 0.5916,                 1.0702,                0.99464,                 1.4215,             0.00056678,             0.00056678,             0.00056678
                     22,                  1.024,                 1.0536,                 1.4061,                 0.8523,                0.73984,                0.84756,                0.59713,                  1.064,                 0.9695,                 1.4101,             0.00051177,             0.00051177,             0.00051177
                     23,                0.99006,                 1.0031,                   1.38,                0.86091,                0.77575,                0.86285,                0.61751,                 1.0354,                0.92352,                 1.3801,             0.00045676,             0.00045676,             0.00045676
                     24,                 0.9757,                0.95554,                 1.3566,                0.86823,                0.78056,                0.87235,                0.62386,                 1.0277,                0.90038,                 1.3727,             0.00040175,             0.00040175,             0.00040175
                     25,                0.95551,                0.92117,                 1.3458,                0.85515,                0.78511,                0.87201,                0.63022,                 1.0208,                0.88721,                 1.3611,             0.00034674,             0.00034674,             0.00034674
                     26,                0.93602,                0.90386,                 1.3297,                0.87051,                0.76412,                0.87174,                0.63245,                  1.005,                0.87293,                 1.3538,             0.00029172,             0.00029172,             0.00029172
                     27,                0.91672,                0.86297,                 1.3064,                0.85734,                0.79468,                0.87787,                 0.6427,                0.99899,                0.85577,                 1.3406,             0.00023671,             0.00023671,             0.00023671
                     28,                0.90328,                 0.8531,                 1.3075,                0.90283,                 0.7681,                0.87596,                0.64045,                 1.0009,                0.83557,                  1.337,              0.0001817,              0.0001817,              0.0001817
                     29,                0.88642,                0.82804,                 1.2841,                 0.8937,                0.77641,                 0.8859,                0.65059,                0.98129,                0.81889,                 1.3199,             0.00012669,             0.00012669,             0.00012669
                     30,                0.87086,                0.80721,                  1.278,                  0.878,                0.79745,                0.88693,                0.65428,                0.98033,                0.80991,                 1.3208,             7.1681e-05,             7.1681e-05,             7.1681e-05
